language,wals,metric,algorithm,value,run_id
GUAJAJARA,gjj,del-verses,gzip,0.8068444444444445,6
GUAJAJARA,gjj,del-verses,gzip,0.8155496296296296,7
GUAJAJARA,gjj,del-verses,gzip,0.8027851851851852,8
GUAJAJARA,gjj,del-verses,gzip,0.8090548148148148,9
GUARANI_EASTERN_BOLIVIAN,crg,del-verses,gzip,0.8071062590000335,0
GUARANI_EASTERN_BOLIVIAN,crg,del-verses,gzip,0.8169686212785908,1
GUARANI_EASTERN_BOLIVIAN,crg,del-verses,gzip,0.8133351193864907,2
GUARANI_EASTERN_BOLIVIAN,crg,del-verses,gzip,0.8096513847493386,3
GUARANI_EASTERN_BOLIVIAN,crg,del-verses,gzip,0.806344395700077,4
GUARANI_EASTERN_BOLIVIAN,crg,del-verses,gzip,0.8105890626569773,5
GUARANI_EASTERN_BOLIVIAN,crg,del-verses,gzip,0.8074411439670474,6
GUARANI_EASTERN_BOLIVIAN,crg,del-verses,gzip,0.8133518636348415,7
GUARANI_EASTERN_BOLIVIAN,crg,del-verses,gzip,0.8110327852382706,8
GUARANI_EASTERN_BOLIVIAN,crg,del-verses,gzip,0.808814172331804,9
GUARANI_MBYA,[gun],del-verses,gzip,0.8052317792068596,0
GUARANI_MBYA,[gun],del-verses,gzip,0.8059770230439443,1
GUARANI_MBYA,[gun],del-verses,gzip,0.807475884244373,2
GUARANI_MBYA,[gun],del-verses,gzip,0.809778603965702,3
GUARANI_MBYA,[gun],del-verses,gzip,0.8093515541264737,4
GUARANI_MBYA,[gun],del-verses,gzip,0.8092845659163987,5
GUARANI_MBYA,[gun],del-verses,gzip,0.8068981109324759,6
GUARANI_MBYA,[gun],del-verses,gzip,0.8066971463022508,7
GUARANI_MBYA,[gun],del-verses,gzip,0.8098707127545552,8
GUARANI_MBYA,[gun],del-verses,gzip,0.8103647508038585,9
GUARANI_PARAGUAY,gua,del-verses,gzip,0.8099760176407153,0
GUARANI_PARAGUAY,gua,del-verses,gzip,0.8110866101176584,1
GUARANI_PARAGUAY,gua,del-verses,gzip,0.8107486037116323,2
GUARANI_PARAGUAY,gua,del-verses,gzip,0.8056865553928118,3
GUARANI_PARAGUAY,gua,del-verses,gzip,0.8039884755911089,4
GUARANI_PARAGUAY,gua,del-verses,gzip,0.8085676576156062,5
GUARANI_PARAGUAY,gua,del-verses,gzip,0.8061211350577026,6
GUARANI_PARAGUAY,gua,del-verses,gzip,0.8116740974424181,7
GUARANI_PARAGUAY,gua,del-verses,gzip,0.8153519290508459,8
GUARANI_PARAGUAY,gua,del-verses,gzip,0.8061211350577026,9
GUARANI_WESTERN_BOLIVIAN,[gnw],del-verses,gzip,0.8100944956492109,0
GUARANI_WESTERN_BOLIVIAN,[gnw],del-verses,gzip,0.8093963747579432,1
GUARANI_WESTERN_BOLIVIAN,[gnw],del-verses,gzip,0.8061800320803172,2
GUARANI_WESTERN_BOLIVIAN,[gnw],del-verses,gzip,0.8111749208380775,3
GUARANI_WESTERN_BOLIVIAN,[gnw],del-verses,gzip,0.8130947532890636,4
GUARANI_WESTERN_BOLIVIAN,[gnw],del-verses,gzip,0.8060803005244218,5
GUARANI_WESTERN_BOLIVIAN,[gnw],del-verses,gzip,0.8088478512005186,6
GUARANI_WESTERN_BOLIVIAN,[gnw],del-verses,gzip,0.8179234227869984,7
GUARANI_WESTERN_BOLIVIAN,[gnw],del-verses,gzip,0.810717817873557,8
GUARANI_WESTERN_BOLIVIAN,[gnw],del-verses,gzip,0.809271710313074,9
HIXKARYÁNA,hix,del-verses,gzip,0.8020914359586753,0
HIXKARYÁNA,hix,del-verses,gzip,0.8098480449620387,1
HIXKARYÁNA,hix,del-verses,gzip,0.8055698587815112,2
HIXKARYÁNA,hix,del-verses,gzip,0.8096070203884878,3
HIXKARYÁNA,hix,del-verses,gzip,0.8097877888186509,4
HIXKARYÁNA,hix,del-verses,gzip,0.799604500586128,5
HIXKARYÁNA,hix,del-verses,gzip,0.8057944498614109,6
HIXKARYÁNA,hix,del-verses,gzip,0.807415887901662,7
HIXKARYÁNA,hix,del-verses,gzip,0.7979556733897916,8
HIXKARYÁNA,hix,del-verses,gzip,0.8124445369589273,9
JAMAMADI,jmm,del-verses,gzip,0.8127564471915213,0
JAMAMADI,jmm,del-verses,gzip,0.8140135840622981,1
JAMAMADI,jmm,del-verses,gzip,0.8059469558081469,2
JAMAMADI,jmm,del-verses,gzip,0.8064707628376373,3
JAMAMADI,jmm,del-verses,gzip,0.816693730029857,4
JAMAMADI,jmm,del-verses,gzip,0.8037033156984966,5
JAMAMADI,jmm,del-verses,gzip,0.8127215267228887,6
JAMAMADI,jmm,del-verses,gzip,0.8129834302376338,7
JAMAMADI,jmm,del-verses,gzip,0.8180818186580064,8
JAMAMADI,jmm,del-verses,gzip,0.815881829134147,9
KAAPOR,urk,del-verses,gzip,0.8112194534729746,0
KAAPOR,urk,del-verses,gzip,0.8094679186228482,1
KAAPOR,urk,del-verses,gzip,0.8058264114602143,2
KAAPOR,urk,del-verses,gzip,0.812308896111713,3
KAAPOR,urk,del-verses,gzip,0.8112676056338028,4
KAAPOR,urk,del-verses,gzip,0.808095582039244,5
KAAPOR,urk,del-verses,gzip,0.8058143734200072,6
KAAPOR,urk,del-verses,gzip,0.8091248344769472,7
KAAPOR,urk,del-verses,gzip,0.8056398218370049,8
KAAPOR,urk,del-verses,gzip,0.8080835439990369,9
KADIWÉU,kdw,del-verses,gzip,0.8046592929688677,0
KADIWÉU,kdw,del-verses,gzip,0.8076369006359061,1
KADIWÉU,kdw,del-verses,gzip,0.8144239173020704,2
KADIWÉU,kdw,del-verses,gzip,0.8035622796178535,3
KADIWÉU,kdw,del-verses,gzip,0.8036647478978933,4
KADIWÉU,kdw,del-verses,gzip,0.8131822428498237,5
KADIWÉU,kdw,del-verses,gzip,0.8049908079925259,6
KADIWÉU,kdw,del-verses,gzip,0.8045688797805973,7
KADIWÉU,kdw,del-verses,gzip,0.8072390826075163,8
KADIWÉU,kdw,del-verses,gzip,0.8058165817787288,9
KAIGANG,kng,del-verses,gzip,0.8118112241289063,0
KAIGANG,kng,del-verses,gzip,0.8059968593942309,1
KAIGANG,kng,del-verses,gzip,0.8042921612177628,2
KAIGANG,kng,del-verses,gzip,0.8068456717642565,3
KAIGANG,kng,del-verses,gzip,0.8075035013510263,4
KAIGANG,kng,del-verses,gzip,0.8043204549634303,5
KAIGANG,kng,del-verses,gzip,0.8121153818948321,6
KAIGANG,kng,del-verses,gzip,0.8131198098660292,7
KAIGANG,kng,del-verses,gzip,0.8099579837876837,8
KAIGANG,kng,del-verses,gzip,0.8123700256058398,9
KAIWÁ,kaw,del-verses,gzip,0.8043789719291423,0
KAIWÁ,kaw,del-verses,gzip,0.8096032420152072,1
KAIWÁ,kaw,del-verses,gzip,0.8059805356283963,2
KAIWÁ,kaw,del-verses,gzip,0.8068708617743074,3
KAIWÁ,kaw,del-verses,gzip,0.8090557426036411,4
KAIWÁ,kaw,del-verses,gzip,0.8036830848265911,5
KAIWÁ,kaw,del-verses,gzip,0.8021173388458508,6
KAIWÁ,kaw,del-verses,gzip,0.8095878915644156,7
KAIWÁ,kaw,del-verses,gzip,0.8025829691865285,8
KAIWÁ,kaw,del-verses,gzip,0.809465087958083,9
KARAJÁ,jva,del-verses,gzip,0.8091089231053918,0
KARAJÁ,jva,del-verses,gzip,0.812262427041489,1
KARAJÁ,jva,del-verses,gzip,0.8092631286768391,2
KARAJÁ,jva,del-verses,gzip,0.8046138306977031,3
KARAJÁ,jva,del-verses,gzip,0.8023624293545726,4
KARAJÁ,jva,del-verses,gzip,0.8017687379045005,5
KARAJÁ,jva,del-verses,gzip,0.8065259797836496,6
KARAJÁ,jva,del-verses,gzip,0.8135500435630739,7
KARAJÁ,jva,del-verses,gzip,0.8093864931339969,8
KARAJÁ,jva,del-verses,gzip,0.8036037842047233,9
KASHINAWA,csh,del-verses,gzip,0.8062685302837781,0
KASHINAWA,csh,del-verses,gzip,0.8128093422883766,1
KASHINAWA,csh,del-verses,gzip,0.8077509529860228,2
KASHINAWA,csh,del-verses,gzip,0.8115992013069523,3
KASHINAWA,csh,del-verses,gzip,0.8046590427784837,4
KASHINAWA,csh,del-verses,gzip,0.8101167786047074,5
KASHINAWA,csh,del-verses,gzip,0.8146971622193986,6
KASHINAWA,csh,del-verses,gzip,0.8029285411750469,7
KASHINAWA,csh,del-verses,gzip,0.8056392569734374,8
KASHINAWA,csh,del-verses,gzip,0.8105221758334846,9
KAYABÍ,kyz,del-verses,gzip,0.8078376765466481,0
KAYABÍ,kyz,del-verses,gzip,0.8103460823746889,1
KAYABÍ,kyz,del-verses,gzip,0.808458713192662,2
KAYABÍ,kyz,del-verses,gzip,0.8058581222374785,3
