,,,,value,value
,,,,mean,var
Jê,xav,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,bz2,-1.50885874,9.8e-07
Jê,xav,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,gzip,-1.26379271,7.7e-07
Jê,xav,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,bz2,0.91113015,2.284e-05
Jê,xav,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,gzip,0.90461635,1.558e-05
Jê,xav,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,bz2,0.99206077,1.77e-06
Jê,xav,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,gzip,0.95423037,7.9e-07
Karajá,jva,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,bz2,1.13271125,1.5e-06
Karajá,jva,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,gzip,1.10677437,2.3e-07
Karajá,jva,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,bz2,-1.31216113,2.26e-06
Karajá,jva,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,gzip,-1.14185524,1.27e-06
Karajá,jva,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,bz2,0.90564873,1.929e-05
Karajá,jva,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,gzip,0.90181577,2.41e-06
Karajá,jva,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,bz2,0.9145333,1.01e-06
Karajá,jva,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,gzip,0.90742654,1.63e-06
Karib,apl,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,bz2,0.92086847,3.6e-07
Karib,apl,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,gzip,0.89526781,4.5e-07
Karib,apl,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,bz2,-1.43124725,1.97e-06
Karib,apl,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,gzip,-1.20243488,8.2e-07
Karib,apl,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,bz2,0.89447268,4.08e-06
Karib,apl,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,gzip,0.90290036,1.203e-05
Karib,apl,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,bz2,0.93314463,1.08e-06
Karib,apl,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,gzip,0.92215172,1.62e-06
Karib,bki,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,bz2,0.98851087,9.8e-07
Karib,bki,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,gzip,0.99520412,3.6e-07
Karib,bki,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,bz2,-1.37923924,1.3e-06
Karib,bki,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,gzip,-1.1709132,1.38e-06
Karib,bki,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,bz2,0.90038218,3.155e-05
Karib,bki,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,gzip,0.90364004,7.6e-06
Karib,bki,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,bz2,0.93355764,2.59e-06
Karib,bki,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,gzip,0.91723341,1e-06
Karib,hix,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,bz2,0.74995186,2.2e-07
Karib,hix,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,gzip,0.74733065,6.6e-07
Karib,hix,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,bz2,-1.58184803,1.14e-06
Karib,hix,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,gzip,-1.28968414,1.47e-06
Karib,hix,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,bz2,0.91471733,1.651e-05
Karib,hix,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,gzip,0.90539237,9.02e-06
Karib,hix,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,bz2,1.00083014,1.09e-06
Karib,hix,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,gzip,0.94898879,1.71e-06
Karib,mac,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,bz2,0.93421383,6.12e-06
Karib,mac,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,gzip,0.91310573,1.5e-07
Karib,mac,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,bz2,-1.44650754,1.53e-06
Karib,mac,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,gzip,-1.22987756,1.29e-06
Karib,mac,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,bz2,0.89367784,1.093e-05
Karib,mac,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,gzip,0.90437778,6.09e-06
Karib,mac,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,bz2,0.93579963,1.53e-06
Karib,mac,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,gzip,0.92244454,1.68e-06
Makú,nad,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,bz2,0.71276088,1.1e-07
Makú,nad,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,gzip,0.6663551,7e-08
Makú,nad,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,bz2,-1.41451733,1.063e-05
Makú,nad,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,gzip,-1.20013992,1.54e-06
Makú,nad,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,bz2,0.88775995,2.7e-06
Makú,nad,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,gzip,0.9037502,8.84e-06
Makú,nad,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,bz2,0.97509674,1.42e-06
Makú,nad,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,gzip,0.95698312,1.3e-06
Mawé,[mav],$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,bz2,0.87379022,3.2e-07
Mawé,[mav],$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,gzip,0.8114795,5e-08
Mawé,[mav],$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,bz2,-1.42002265,3.09e-06
Mawé,[mav],$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,gzip,-1.19513463,1.57e-06
Mawé,[mav],$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,bz2,0.90900251,1.031e-05
Mawé,[mav],$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,gzip,0.90198104,2.705e-05
Mawé,[mav],$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,bz2,0.94502022,2.4e-07
Mawé,[mav],$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,gzip,0.92473177,5.5e-07
Maxakali,max,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,bz2,0.79943606,2.14e-06
Maxakali,max,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,gzip,0.7515673,9.6e-07
Maxakali,max,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,bz2,-1.42820163,2.05e-06
Maxakali,max,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,gzip,-1.20677758,2.33e-06
Maxakali,max,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,bz2,0.90800282,5.09e-06
Maxakali,max,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,gzip,0.90601779,8.62e-06
Maxakali,max,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,bz2,0.96155641,7.3e-07
Maxakali,max,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,gzip,0.93715723,1.79e-06
Mundurukú,muu,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,bz2,0.89972412,3.5e-07
Mundurukú,muu,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,gzip,0.84040074,2.6e-07
Mundurukú,muu,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,bz2,-1.38348085,3.34e-06
Mundurukú,muu,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,gzip,-1.19620544,5.5e-07
Mundurukú,muu,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,bz2,0.89604286,1.022e-05
Mundurukú,muu,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,gzip,0.90432821,3.36e-06
