,,,,value,value
,,,,mean,var
Guarani Western Bolivia,[gnw],$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,bz2,0.95673911,3.58e-06
Guarani Western Bolivia,[gnw],$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,gzip,0.93491127,2.4e-07
Jamamadi,jmm,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,bz2,0.79662481,2.39e-06
Jamamadi,jmm,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,gzip,0.79199838,3.5e-07
Jamamadi,jmm,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,bz2,-1.52446802,2.8e-06
Jamamadi,jmm,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,gzip,-1.25031244,2.8e-07
Jamamadi,jmm,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,bz2,0.90143492,3.45e-06
Jamamadi,jmm,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,gzip,0.90521936,1.16e-06
Jamamadi,jmm,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,bz2,0.95815834,1.58e-06
Jamamadi,jmm,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,gzip,0.93439465,1.1e-06
Kaigang,kng,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,bz2,0.68404003,3.75e-06
Kaigang,kng,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,gzip,0.6213022,4.1e-07
Kaigang,kng,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,bz2,-1.38779528,7.2e-07
Kaigang,kng,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,gzip,-1.16570814,2.7e-07
Kaigang,kng,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,bz2,0.90386751,4.78e-06
Kaigang,kng,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,gzip,0.90474689,1.53e-06
Kaigang,kng,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,bz2,1.00226084,6.4e-07
Kaigang,kng,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,gzip,0.95455692,3.5e-07
Macushi,mac,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,bz2,0.86646321,4.29e-06
Macushi,mac,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,gzip,0.86371365,3.1e-07
Macushi,mac,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,bz2,-1.4955089,4.5e-07
Macushi,mac,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,gzip,-1.23821476,3.9e-07
Macushi,mac,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,bz2,0.90021433,1.047e-05
Macushi,mac,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,gzip,0.90434487,1.37e-06
Macushi,mac,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,bz2,0.94411514,4.7e-07
Macushi,mac,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,gzip,0.92437306,3.9e-07
Matsés,myr,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,bz2,0.83142998,1.38e-06
Matsés,myr,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,gzip,0.87153076,2.1e-07
Matsés,myr,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,bz2,-1.55589588,8e-07
Matsés,myr,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,gzip,-1.26988106,4.4e-07
Matsés,myr,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,bz2,0.89760982,1.25e-06
Matsés,myr,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,gzip,0.90552121,2.49e-06
Matsés,myr,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,bz2,0.94750164,7.7e-07
Matsés,myr,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,gzip,0.92909462,3.5e-07
Maxakali,max,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,bz2,0.77468707,7e-08
Maxakali,max,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,gzip,0.71761368,1.5e-07
Maxakali,max,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,bz2,-1.42890073,1.05e-06
Maxakali,max,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,gzip,-1.21830237,3.1e-07
Maxakali,max,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,bz2,0.90169021,3.72e-06
Maxakali,max,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,gzip,0.90506823,2.44e-06
Maxakali,max,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,bz2,0.956731,3.9e-07
Maxakali,max,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,gzip,0.93645495,3.2e-07
Nadeb,nad,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,bz2,0.6583951,1.6e-07
Nadeb,nad,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,gzip,0.64392764,7e-08
Nadeb,nad,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,bz2,-1.45985105,4.2e-06
Nadeb,nad,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,gzip,-1.20429723,3.6e-07
Nadeb,nad,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,bz2,0.9134082,8.6e-07
Nadeb,nad,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,gzip,0.90540655,2.82e-06
Nadeb,nad,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,bz2,1.01118273,6.2e-07
Nadeb,nad,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,gzip,0.95822008,2.5e-07
Nheengatu,[yrl],$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,bz2,0.87817807,5.1e-07
Nheengatu,[yrl],$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,gzip,0.87224541,1.5e-07
Nheengatu,[yrl],$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,bz2,-1.48159973,1.46e-06
Nheengatu,[yrl],$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,gzip,-1.21489138,4.4e-07
Nheengatu,[yrl],$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,bz2,0.90364288,5.54e-06
Nheengatu,[yrl],$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,gzip,0.90484037,2.99e-06
Nheengatu,[yrl],$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,bz2,0.93852262,6.79e-06
Nheengatu,[yrl],$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,gzip,0.92370488,1.6e-07
Palikúr,plk,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,bz2,0.82403393,2.17e-06
Palikúr,plk,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,gzip,0.8440554,2.6e-07
Palikúr,plk,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,bz2,-1.49530687,5.2e-07
Palikúr,plk,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,gzip,-1.21728461,3.2e-07
Palikúr,plk,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,bz2,0.89952002,4.27e-06
Palikúr,plk,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,gzip,0.90511291,1.84e-06
Palikúr,plk,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,bz2,0.95348842,1.35e-06
Palikúr,plk,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,gzip,0.92968106,6.1e-07
Parecís,pex,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,bz2,0.94682798,1.2e-06
Parecís,pex,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,gzip,0.94652846,2.8e-07
Parecís,pex,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,bz2,-1.46661553,9.2e-07
Parecís,pex,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,gzip,-1.2180424,1.06e-06
Parecís,pex,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,bz2,0.90713779,2.8e-06
Parecís,pex,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,gzip,0.90503871,2.24e-06
